Actor Id,Actors,Movies,Rating,Rank,Hits,Google Rank
434,Tusshar Kapoor,19,1070,4.552629948,165000,1.422230005
435,Arjun Rampal,24,1140,3.690220118,476000,2.224539995
436,Paresh Rawal,30,1660,4.456520081,176000,1.450610042
437,Supriya Pathak,5,350,5.891300201,0,NULL
438,Nawazuddin Siddiqui,5,350,5.891300201,0,NULL
439,Naseeruddin Shah,19,1010,4.243710041,240000,1.615720034
440,Randeep Hooda,14,700,3.934779882,339000,1.871109962
441,Jaya Bhaduri,6,340,4.586959839,70400,1.178189993
442,Karisma Kapoor,6,150,1.48913002,1260000,4.247089863
443,Sharman Joshi,15,820,4.391300201,129000,1.329360008
444,Boman Irani,19,880,3.574369907,416000,2.069760084
445,Satish Shah,11,510,3.579050064,385000,1.989779949
446,Arshad Warsi,22,1100,3.934779882,217000,1.556380033
447,Raj Babbar,12,590,3.85326004,239000,1.613139987
448,Shilpa Shetty,9,270,1.97826004,960000,3.473160028
449,Vivek Oberoi,18,740,3.065220118,504000,2.296780109
450,Anupam Kher,36,1310,2.60326004,657000,2.691479921
451,Sameera Reddy,6,260,3.28260994,370000,1.951089978
452,Sunny Deol,25,860,2.408699989,687000,2.76887989
453,Shraddha Kapoor,4,250,5.15760994,0,NULL
454,Akshaye Khanna,14,690,3.864909887,110000,1.280339956
455,Manish Chaudhary,6,370,5.076089859,0,NULL
456,Sunil Shetty,42,1530,2.607140064,560000,2.441250086
457,Sohail Khan,13,400,2.053509951,764000,2.967519999
458,Esha Deol,11,400,2.600790024,539000,2.387069941
459,Pavan Malhotra,4,240,4.913040161,0,NULL
460,Sonali Kulkarni,8,340,3.201090097,249000,1.638929963
461,Rimi Sen,8,340,3.201090097,247000,1.633769989
462,Sushmita Sen,15,520,2.434779882,534000,2.374170065
463,Gracy Singh,9,390,3.28260994,204000,1.522840023
464,Kunal Khemu,8,370,3.567929983,85100,1.216109991
465,Juhi Chawla,13,460,2.505019903,485000,2.247760057
466,Vinay Pathak,13,590,3.483279943,96200,1.244740009
467,Dharmendra,8,280,2.46739006,473000,2.216799974
468,Mohammed Zeeshan Ayyub,4,230,4.668479919,0,NULL
469,Ranvir Shorey,14,630,3.445650101,68800,1.174059987
470,Genelia D'Souza,6,340,4.586959839,0,NULL
471,Isha Koppikar,10,400,2.956520081,234000,1.600239992
472,Soha Ali Khan,6,170,1.815219998,667000,2.717279911
473,Johnny Lever,7,210,1.97826004,584000,2.50316
474,Ayesha Takia,16,480,1.97826004,570000,2.467040062
475,Tia Bajpai,4,220,4.423910141,0,NULL
476,Nasser,4,220,4.423910141,0,NULL
477,Saurabh Shukla,10,420,3.152169943,102000,1.259709954
478,Konkona Sen Sharma,14,570,3.026400089,148000,1.378379941
479,Ameesha Patel,20,790,2.90760994,193000,1.49447
480,Zayed Khan,14,450,2.187890053,462000,2.188430071
